"","NAME_1","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm1","pop_risk_UC_adm1","pop_risk_LC_adm1","total_pop"
"29","Delta","10_15","mea",0.974226744144562,0.979125432666083,0.968196439086288,20828.3025795575,16869.4947618133,25701.6107523883,808136.259399414
"30","Delta","5_10","mea",0.934454926121924,0.944717672360113,0.922419637434396,50843.1957528804,42882.4019803237,60178.9475108333,775698.198883057
"31","Ebonyi","0_5","mea",0.825626105611788,0.848624607223021,0.800015028367413,80449.5869396229,69838.9392773368,92265.5791936102,461362.563598633
"32","Ebonyi","10_15","mea",0.971173606721466,0.976223012359002,0.965080764923545,12158.0640834443,10028.3839416629,14727.8327088023,421768.480224609
"33","Ebonyi","5_10","mea",0.926508051049771,0.936804452027109,0.914684477117335,32120.5333880153,27620.3684571198,37288.1674851824,437061.934631348
"34","Edo","0_5","mea",0.832844519655068,0.857104268944336,0.80545814717292,101939.792035672,87144.9806882826,118641.374955243,609850.133691788
"35","Edo","10_15","mea",0.97508446710499,0.979693276381379,0.969455803575842,14968.5459836462,12199.7039976375,18350.0874990351,600771.657051086
"36","Edo","5_10","mea",0.93302419693878,0.943506613247038,0.920760843843922,39036.7053112922,32927.0511127195,46184.3747532654,582847.887252808
"37","Ekiti","0_5","mea",0.817683024335448,0.843926939997089,0.788218238595726,66998.7393986127,57354.4961250265,77826.6038583862,367484.92099762
"38","Ekiti","10_15","mea",0.976046990277926,0.980597996886065,0.970456682526537,10663.7675900553,8637.68079206594,13152.546382758,445195.310058594
"39","Ekiti","5_10","mea",0.930924717565307,0.941867184835981,0.91810869578027,27870.6345618417,23455.5457521187,33041.6689335807,403482.021057129
"40","Enugu","0_5","mea",0.825919489280568,0.848298814369788,0.801065814922662,94944.8871679171,82739.0262894717,108500.277704557,545407.907958984
"41","Enugu","10_15","mea",0.972717355738389,0.977308553481726,0.967222589054504,16530.4683145287,13748.6760478327,19859.7301592649,605896.853546143
"42","Enugu","5_10","mea",0.92843597232615,0.938346959723241,0.917070104935662,38827.7654364686,33450.4619726132,44994.4283167518,542559.8125
"43","Federal Capital Territory","0_5","mea",0.812623843332638,0.842163558582123,0.77910277969082,142471.998609337,120011.391321847,167959.83557591,760352.870628357
"44","Federal Capital Territory","10_15","mea",0.977779946386606,0.982209866624227,0.972278036793116,11716.3705353671,9380.5261738215,14617.462160572,527288.130767822
"45","Federal Capital Territory","5_10","mea",0.932258834324426,0.944245971327351,0.917933143821718,40753.8263940873,33542.2336276009,49372.3185310379,601610.94052124
"46","Gombe","0_5","mea",0.767907385751822,0.802087056619662,0.730000784371142,161847.386764113,138012.546399473,188281.163618432,697339.668857574
"47","Gombe","10_15","mea",0.972790021524757,0.978872625533644,0.964998308279277,13060.1896714006,10140.6738722845,16800.0402171744,479977.949386597
"48","Gombe","5_10","mea",0.915354150538212,0.929452291225645,0.898745743233833,47399.5584997165,39504.9523435941,56699.8511734454,559974.987564087
"49","Imo","0_5","mea",0.844505559356564,0.862951066003073,0.824124337684232,106558.289084635,93917.8266898515,120525.271453081,685286.809249878
"50","Imo","10_15","mea",0.973403581083758,0.977759651878854,0.968211907554711,20524.7686706627,17163.1377058346,24531.2440737185,771711.73815918
"51","Imo","5_10","mea",0.933651507621603,0.941798946116536,0.924453335742082,46410.6352555031,40711.5186260185,52844.7377469847,699497.96282959
"52","Jigawa","0_5","mea",0.749926682772519,0.783883583660776,0.712782404055357,326852.319389154,282469.768153197,375400.856215647,1307025.96747589
"53","Jigawa","10_15","mea",0.97699244517226,0.982031365746714,0.970556741831774,17770.7979273122,13878.7876736878,22741.6687756132,772389.680709839
"54","Jigawa","5_10","mea",0.918032105686069,0.931237490390156,0.902536144670781,85707.3116220558,71899.4905062955,101910.206313163,1045620.51202393
"55","Kaduna","0_5","mea",0.784538913546834,0.814446512418166,0.7514025216712,377347.050962084,324968.478008462,435380.359712304,1751346.64534473
"56","Kaduna","10_15","mea",0.97763071012461,0.982015442658265,0.972201601647321,25844.7264795857,20778.7537263286,32117.3361334985,1155366.42528915
"57","Kaduna","5_10","mea",0.926138491884786,0.937986521188394,0.912246284254517,103065.15548837,86532.6067553775,122450.117642907,1395383.84902191
