"","GID_1","NAME_1","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","weighted.risk","weighted.risk.UC","weighted.risk.LC","pop_risk_adm1","pop_risk_UC_adm1","pop_risk_LC_adm1","total_pop"
"1","NGA.1_1","Abia","15_20","tet",0.87753412528859,0.890864344640941,0.862819198178132,0.0038731137406044,0.00344951510361791,0.00434106106020569,949.563109859749,845.710327316246,1064.28876518786,245167.886474609
"2","NGA.1_1","Abia","20_25","tet",0.890512247075187,0.903502780044862,0.876010833389808,0.00988881753015943,0.00871595813806646,0.0111979188058268,1811.49584752622,1596.64408066646,2051.30526029274,183186.295227051
"3","NGA.1_1","Abia","25_30","tet",0.901947885987745,0.914922869751294,0.887241624682986,0.00819548066821587,0.00711114689021558,0.00942433929106242,1224.04314622997,1062.09153131928,1407.58039509623,149355.870117188
"4","NGA.1_1","Abia","30_35","tet",0.913353290041968,0.926266757990095,0.898435857237462,0.00643491327122817,0.00547575444444828,0.00754279427298011,846.825790331663,720.601799843218,992.62141575164,131598.633056641
"5","NGA.1_1","Abia","35_40","tet",0.92365085948884,0.936445361381253,0.908547378036973,0.00310942927340574,0.00258773370018608,0.00372540270462269,389.093702697849,323.812120639935,466.172601119999,125133.479003906
"6","NGA.1_1","Abia","40_45","tet",0.933020547881775,0.945562448830977,0.917859837017761,0.0011043163298007,0.000897016633696205,0.00135511601063201,112.040233838586,91.0083014117542,137.485528930848,101456.648620605
"7","NGA.1_1","Abia","15_20","rub",0.877087009942614,0.890657867058868,0.862083488392919,0.00885259624239594,0.00787561730840025,0.00993280703918925,2170.37231056128,1930.84845018334,2435.20530855815,245167.886474609
"8","NGA.1_1","Abia","20_25","rub",0.943947645669147,0.952220678911698,0.934334602805849,0.0113526416064921,0.00967804091272291,0.0132983734944844,2079.64835693376,1772.88445985753,2436.0797730002,183186.295227051
"9","NGA.1_1","Abia","25_30","rub",0.975414294050782,0.979981937606489,0.969832340882123,0.00598257182113879,0.00487170344347153,0.00733998818850285,893.532219884751,727.617506752589,1096.27032254372,149355.870117188
"10","NGA.1_1","Abia","30_35","rub",0.989480575546882,0.991825774171474,0.986469037835565,0.00227078583401295,0.00176484346832361,0.00292037929560684,298.832311720488,232.250987990328,384.317923308775,131598.633056641
"11","NGA.1_1","Abia","35_40","rub",0.995541981448432,0.996695398477193,0.993986784129851,0.00052939258934661,0.00039263383261626,0.00071369711596009,66.2447364638276,49.13163744991,89.3074030751403,125133.479003906
"12","NGA.1_1","Abia","40_45","rub",0.998122413194611,0.998672557417194,0.997343938920844,9.1028778687208e-05,6.44532542776211e-05,0.00012858011931877,9.23547481363092,6.53921117169914,13.04530798532,101456.648620605
"13","NGA.1_1","Abia","15_20","mea",0.988421368318998,0.991151992200928,0.98485031143597,NA,NA,NA,2838.70865749927,2169.24737160948,3714.21712599172,245167.886474609
"14","NGA.1_1","Abia","20_25","mea",0.995427392667844,0.996811365891234,0.993440697373304,NA,NA,NA,837.63899670579,584.114069219429,1201.57434745747,183186.295227051
"15","NGA.1_1","Abia","25_30","mea",0.998198953804964,0.99885900804903,0.997154942592359,NA,NA,NA,268.996821580863,170.413845633793,424.926024651629,149355.870117188
"16","NGA.1_1","Abia","30_35","mea",0.999293746503168,0.999594014703464,0.998769976057152,NA,NA,NA,92.9419947745397,53.4271100651907,161.86946950577,131598.633056641
"17","NGA.1_1","Abia","35_40","mea",0.999723410738259,0.999855863147757,0.999468421353694,NA,NA,NA,34.6105765768142,18.036345773817,66.5182853764046,125133.479003906
"18","NGA.1_1","Abia","40_45","mea",0.999891874458914,0.999948934138005,0.999770615048732,NA,NA,NA,10.9700550288539,5.18097121693607,23.2726283996922,101456.648620605
"19","NGA.1_1","Abia","15_20","dip",0.942647342949054,0.951009614414521,0.932952739357758,NA,NA,NA,14061.0297128835,12010.8692915681,16437.8351855707,245167.886474609
"20","NGA.1_1","Abia","20_25","dip",0.958839594149517,0.965988932339334,0.950258974479368,NA,NA,NA,7540.0222577918,6230.36148147393,9111.87418591873,183186.295227051
"21","NGA.1_1","Abia","25_30","dip",0.970566943406586,0.976637825549416,0.962972714624126,NA,NA,NA,4395.99977771773,3489.27789289653,5530.24242539105,149355.870117188
"22","NGA.1_1","Abia","30_35","dip",0.97913338277122,0.984151741950561,0.972565067573049,NA,NA,NA,2746.01830382358,2085.60909563507,3610.39960538812,131598.633056641
"23","NGA.1_1","Abia","35_40","dip",0.985258808721358,0.989311770859286,0.979695686880261,NA,NA,NA,1844.61654935858,1337.45529676849,2540.74933945755,125133.479003906
"24","NGA.1_1","Abia","40_45","dip",0.989619521750981,0.992823901119201,0.985001391682545,NA,NA,NA,1053.16853422452,728.062942615959,1521.70853386215,101456.648620605
"25","NGA.2_1","Adamawa","15_20","tet",0.848499769484237,0.87344488177676,0.819561670128636,0.0145035466869366,0.0121183765423693,0.0172699451659798,3541.99661308777,2959.50015507968,4217.59508942789,244215.893501282
"26","NGA.2_1","Adamawa","20_25","tet",0.868183809242359,0.891594643953694,0.840536494676775,0.0245306744276657,0.0201814559810993,0.0296652006709107,4885.21518423059,4019.08049815202,5907.74172100783,199147.202358246
"27","NGA.2_1","Adamawa","25_30","tet",0.885252359730178,0.907553502929929,0.858330485729542,0.0220459277242794,0.0177691825887718,0.0272065479126681,3580.41992284554,2885.84522952292,4418.54239008001,162407.314748764
"28","NGA.2_1","Adamawa","30_35","tet",0.900621903599764,0.921952282475998,0.874183747359274,0.0164872452899412,0.0129540323847178,0.0208645901393329,2266.05586716123,1780.44061167062,2867.69111938884,137442.964383125
