"","GID_2","NAME_2","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm2","pop_risk_UC_adm2","pop_risk_LC_adm2","total_pop"
"1","NGA.1.1_1","Aba North","0_5","mea",0.838216835940381,0.858410029028826,0.815810273097485,12136.4485153961,10621.6206301592,13817.3162245328,75016.7583007812
"2","NGA.1.1_1","Aba North","5_10","mea",0.928413782271041,0.937582524371181,0.918012555983136,5434.12376948845,4738.12276589685,6223.68288849278,75910.1953125
"3","NGA.1.1_1","Aba North","10_15","mea",0.970211903945935,0.975432795144185,0.96390708146778,2664.6288546965,2197.60547365061,3228.61293305248,89452.80859375
"4","NGA.1.1_1","Aba North","0_5","dip",0.843333840705078,0.862642369501932,0.821877669640305,11752.5874057389,10304.1241678416,13362.1598045651,75016.7583007812
"5","NGA.1.1_1","Aba North","5_10","dip",0.883160340269301,0.896768370010254,0.868024876068292,8869.32139040343,7836.33319494937,10018.2574340474,75910.1953125
"6","NGA.1.1_1","Aba North","10_15","dip",0.913902738768766,0.924516891040251,0.901952752930744,7701.64182936366,6752.17609783759,8770.6016252303,89452.80859375
"7","NGA.1.2_1","Aba South",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NGA.1.3_1","Arochukw","0_5","mea",0.831825897424676,0.852986612382656,0.808356954399546,3502.67722292141,3061.94851874504,3991.48097404205,20827.6849365234
"9","NGA.1.3_1","Arochukw","5_10","mea",0.926534236594119,0.936126924790784,0.915628243523311,1677.74502852279,1458.67584328601,1926.80628927038,22837.1005859375
"10","NGA.1.3_1","Arochukw","10_15","mea",0.969949871937318,0.97519707835974,0.963620045080737,728.162737453462,601.01452082809,881.544581347129,24231.6018066406
"11","NGA.1.3_1","Arochukw","0_5","dip",0.86989851715426,0.887882103721178,0.849522784820722,2709.71269448559,2335.15621944112,3134.09202787946,20827.6849365234
"12","NGA.1.3_1","Arochukw","5_10","dip",0.905281720937886,0.917927440263883,0.890919774321863,2163.09086626839,1874.29930203907,2491.07608574837,22837.1005859375
"13","NGA.1.3_1","Arochukw","10_15","dip",0.931805579402977,0.941366376265229,0.920815054643881,1652.46004534164,1420.78662282138,1918.77806495006,24231.6018066406
"14","NGA.1.4_1","Bende","0_5","mea",0.837350173343535,0.856715405870884,0.815975645791679,5159.95350700783,4545.60486890834,5838.04564315736,31724.3099060059
"15","NGA.1.4_1","Bende","5_10","mea",0.929949866369471,0.938578624056276,0.920210044770562,2325.17712121795,2038.76239339295,2648.47144162535,33193.0433349609
"16","NGA.1.4_1","Bende","10_15","mea",0.971728255619654,0.976415663610456,0.966129867283292,1007.98104741678,840.859473569948,1207.58207886409,35653.3022460938
"17","NGA.1.4_1","Bende","0_5","dip",0.862516228477604,0.880032466639338,0.842903988765744,4361.57777482299,3805.88720699274,4983.76254539292,31724.3099060059
"18","NGA.1.4_1","Bende","5_10","dip",0.900503018291113,0.912758099760732,0.88674147995979,3302.6076255609,2895.82417526635,3759.39496374823,33193.0433349609
"19","NGA.1.4_1","Bende","10_15","dip",0.928877064887715,0.938123250891994,0.918368153054571,2535.76750218762,2206.11043795346,2910.44491205225,35653.3022460938
"20","NGA.1.5_1","Ikwuano","0_5","mea",0.837493299527311,0.856981750566993,0.815965723477736,3611.90891760389,3178.75440830817,4090.38545845843,22226.2153320312
"21","NGA.1.5_1","Ikwuano","5_10","mea",0.929097459050301,0.937838416688931,0.919230258538589,1740.41121209372,1525.85105000445,1982.61672648766,24546.5280761719
"22","NGA.1.5_1","Ikwuano","10_15","mea",0.97096561130031,0.975864632168686,0.965094031385348,767.765300216792,638.218979587091,923.029299841007,26443.30859375
"23","NGA.1.5_1","Ikwuano","0_5","dip",0.855999972346772,0.873938680882212,0.8359931316421,3200.5756224391,2801.86602375185,3645.25197205478,22226.2153320312
"24","NGA.1.5_1","Ikwuano","5_10","dip",0.894385214945322,0.90694206366418,0.880359565620234,2592.47628660352,2284.24924697783,2936.75728154831,24546.5280761719
"25","NGA.1.5_1","Ikwuano","10_15","dip",0.923466059448824,0.933091618086585,0.912584210689657,2023.81060789046,1769.27899044491,2311.56269269963,26443.30859375
"26","NGA.1.6_1","Isiala Ngwa North","0_5","mea",0.840890013583161,0.85983433262064,0.819964955730513,4526.04137229881,3987.1514278988,5121.27539683523,28445.9918212891
"27","NGA.1.6_1","Isiala Ngwa North","5_10","mea",0.930824849093985,0.939282204310933,0.921285332217595,2034.54756858428,1785.8037455795,2315.11943018667,29411.5378417969
"28","NGA.1.6_1","Isiala Ngwa North","10_15","mea",0.971735353157497,0.976463717851636,0.966077052321861,958.649101124586,798.277645253096,1150.56110484432,33916.896484375
"29","NGA.1.6_1","Isiala Ngwa North","0_5","dip",0.849366488135823,0.867747403872672,0.828940551704003,4284.91964650042,3762.05626778221,4865.95566718215,28445.9918212891
"30","NGA.1.6_1","Isiala Ngwa North","5_10","dip",0.889361769433619,0.902278742571908,0.874976226042246,3254.04050505256,2874.1324607943,3677.14145888275,29411.5378417969
"31","NGA.1.6_1","Isiala Ngwa North","10_15","dip",0.919753862279727,0.929684276816229,0.90855770803929,2721.6999463294,2384.89110444794,3101.43875072539,33916.896484375
"32","NGA.1.7_1","Isiala Ngwa South","0_5","mea",0.84042269484136,0.859679469649461,0.819124041891162,3561.6685009153,3131.86898653542,4037.04149489605,22319.3924560547
"33","NGA.1.7_1","Isiala Ngwa South","5_10","mea",0.930165745277271,0.938808705545657,0.920402347291258,1483.28748122244,1299.71002603656,1690.66316045528,21240.11328125
