"","GID_2","NAME_2","weighted.sero_0_5_mea","weighted.sero_5_10_mea","weighted.sero_10_15_mea","weighted.sero_0_5_dip","weighted.sero_5_10_dip","weighted.sero_10_15_dip","weighted.sero_NA_NA","weighted.sero.UC_0_5_mea","weighted.sero.UC_5_10_mea","weighted.sero.UC_10_15_mea","weighted.sero.UC_0_5_dip","weighted.sero.UC_5_10_dip","weighted.sero.UC_10_15_dip","weighted.sero.UC_NA_NA","weighted.sero.LC_0_5_mea","weighted.sero.LC_5_10_mea","weighted.sero.LC_10_15_mea","weighted.sero.LC_0_5_dip","weighted.sero.LC_5_10_dip","weighted.sero.LC_10_15_dip","weighted.sero.LC_NA_NA","pop_risk_adm2_0_5_mea","pop_risk_adm2_5_10_mea","pop_risk_adm2_10_15_mea","pop_risk_adm2_0_5_dip","pop_risk_adm2_5_10_dip","pop_risk_adm2_10_15_dip","pop_risk_adm2_NA_NA","pop_risk_UC_adm2_0_5_mea","pop_risk_UC_adm2_5_10_mea","pop_risk_UC_adm2_10_15_mea","pop_risk_UC_adm2_0_5_dip","pop_risk_UC_adm2_5_10_dip","pop_risk_UC_adm2_10_15_dip","pop_risk_UC_adm2_NA_NA","pop_risk_LC_adm2_0_5_mea","pop_risk_LC_adm2_5_10_mea","pop_risk_LC_adm2_10_15_mea","pop_risk_LC_adm2_0_5_dip","pop_risk_LC_adm2_5_10_dip","pop_risk_LC_adm2_10_15_dip","pop_risk_LC_adm2_NA_NA","total_pop_0_5_mea","total_pop_5_10_mea","total_pop_10_15_mea","total_pop_0_5_dip","total_pop_5_10_dip","total_pop_10_15_dip","total_pop_NA_NA"
"11","NGA.1.11_1","Osisioma Ngwa",0.840067735705107,0.929524130085628,0.970784970790853,0.843113695153232,0.883243917886964,0.914178528349482,NA,0.85987068284123,0.938481174278451,0.975860006353158,0.862479714900773,0.896934255524363,0.924833246607732,NA,0.818104798906272,0.919371575260691,0.964666789113303,0.821590984236236,0.868005117728279,0.902171789619751,NA,9022.82270794193,3704.97322686214,1786.06135277696,8850.98025828249,6137.96124585196,5246.69726174502,NA,7905.60923077556,3234.0942016504,1475.79895950974,7758.41670638794,5418.24917312558,4595.32086333192,NA,10261.8952975492,4238.70120860035,2160.09650315492,10065.2168330881,6939.07724010681,5980.72945676837,NA,56416.5257568359,52570.8051757812,61135.0185546875,56416.5257568359,52570.8051757812,61135.0185546875,NA
"12","NGA.1.12_1","Ugwunagbo",0.838022690165067,0.92801965946269,0.96990833385566,0.840644788702663,0.880624559657222,0.911635308265146,NA,0.858795181869381,0.93750948872867,0.975293333523958,0.860648789869756,0.894804573799391,0.922729854680507,NA,0.814903912461986,0.91721275871249,0.963377929526488,0.818381669660868,0.864824354928249,0.899120279867185,NA,3871.23963287945,1784.08292963435,823.345056643547,3808.5717703844,2958.80352528679,2417.76682529784,NA,3374.77939878032,1548.87089434531,676.004831756926,3330.4783743826,2607.34198753668,2114.20636762915,NA,4423.77584056868,2051.93950000848,1002.02496411418,4340.65783153665,3350.42261643398,2760.19341994998,NA,23899.8884277344,24785.697265625,27361.2319335938,23899.8884277344,24785.697265625,27361.2319335938,NA
"13","NGA.1.13_1","Ukwa East",0.83409627087649,0.925630084909449,0.968667233757934,0.839775997107102,0.879356393244209,0.910234801079881,NA,0.856097896571324,0.935799383620155,0.974441266559516,0.860243078733605,0.893870876295533,0.921624386006314,NA,0.809534324625751,0.913993910685812,0.961622579931523,0.816955246994598,0.863162740068054,0.897372148481162,NA,2886.81297247537,1350.0739721672,590.355244205731,2787.98272044148,2190.10325870417,1691.30792730697,NA,2503.97300373597,1165.46564650485,481.564002529363,2431.84463324926,1926.61464555736,1476.71145220805,NA,3314.20387827647,1561.31121690261,723.086848491984,3185.0758889582,2484.0746803578,1933.6591566043,NA,17400.5309448242,18153.4962158203,18841.4658203125,17400.5309448242,18153.4962158203,18841.4658203125,NA
"14","NGA.1.14_1","Ukwa West",0.838747723991202,0.928202473631793,0.969909075489384,0.838721883484079,0.878848539837971,0.910062833976975,NA,0.859998641730123,0.937951164056592,0.975396462354099,0.859525295349907,0.893714007834957,0.921707908080748,NA,0.815017267591062,0.917054485182116,0.963228176803066,0.815505751769352,0.862227005819055,0.896877814092156,NA,2228.94449983187,1029.84402473902,465.056707594987,2229.30168583663,1737.76331368878,1389.98329234903,NA,1935.19908808982,890.011483273423,380.248875662013,1941.74202092036,1524.53711821884,1210.00810346809,NA,2556.96387159383,1189.74771325722,568.31032300779,2550.21169327175,1976.17803850243,1593.75841846871,NA,13822.7165222168,14343.7257080078,15455.048828125,13822.7165222168,14343.7257080078,15455.048828125,NA
"15","NGA.1.15_1","Umu-Nneochi",0.838527026572984,0.931979362311939,0.973175154106228,0.851927160068049,0.894265980372988,0.925652720217392,NA,0.857295557803655,0.94023506552635,0.977453172639807,0.869308158053991,0.906375837971164,0.934687806025131,NA,0.817857614167492,0.922676538235645,0.968103508928409,0.832684044570054,0.880796581619166,0.915479186222047,NA,3854.61357178109,1718.96896473814,760.543885617187,3534.73133181538,2672.03461233871,2107.91030356158,NA,3406.57924338098,1510.33673061031,639.252570425488,3119.81960197104,2366.00294186059,1851.7455787272,NA,4348.02492036793,1954.063289271,904.33627664471,3994.09473231318,3012.42363570661,2396.35255989062,NA,23871.5711364746,25271.2856445312,28352.2182617188,23871.5711364746,25271.2856445312,28352.2182617188,NA
"16","NGA.1.16_1","Umuahia North",0.839929041112728,0.93091148102595,0.972008827770773,0.855230754981883,0.894615116520397,0.924224133067785,NA,0.858819680731678,0.939311844088703,0.976631886597121,0.873045931258189,0.907094396372746,0.93372532385036,NA,0.819086836505497,0.921443258227439,0.966490579946234,0.835392531902301,0.880682043607845,0.913485885614534,NA,6025.54554628863,2584.87208027363,1243.54125714634,5449.5436625253,3942.86123127976,3366.43339030471,NA,5314.44585516558,2270.58159804131,1038.15634730055,4778.92760065963,3475.96249685508,2944.33164217523,NA,6810.10793048963,2939.11537749752,1488.69600739318,6196.31320494827,4464.15205787283,3843.49285849024,NA,37642.9652709961,37413.9165039062,44426.1943359375,37642.9652709961,37413.9165039062,44426.1943359375,NA
"17","NGA.1.17_1","Umuahia South",0.840081939018111,0.93059920570913,0.971708923508434,0.852612021828089,0.8920908351435,0.921969916696448,NA,0.859052634582008,0.939060593294366,0.976422800948033,0.870703258283969,0.904780051696286,0.93168974075365,NA,0.81913931469588,0.921058985755386,0.96607255594003,0.832482347966479,0.877940915241746,0.910997997441304,NA,1864.94314901082,828.593196027518,413.402001460799,1718.81899049158,1288.35412768282,1140.21085841175,NA,1643.70942152168,727.570603221252,344.520692941053,1507.84139810226,1136.85444232631,998.180394484655,NA,2109.17324730144,942.496234502084,495.763152845101,1953.56856867889,1457.29351050585,1300.53750350406,NA,11661.8669433594,11939.2465820312,14612.4521484375,11661.8669433594,11939.2465820312,14612.4521484375,NA
"18","NGA.2.1_1","Demsa",0.806927782062263,0.927286447010483,0.975122031037615,0.765694938919354,0.847060155775941,0.903776519675464,NA,0.843208114066163,0.94207071022047,0.981669745434548,0.803140284278723,0.87214336830009,0.921288511235765,NA,0.764794976189873,0.909087710975991,0.966287611386756,0.723613367736763,0.818084190314762,0.882851167259758,NA,6602.50461176491,2126.20689301323,610.230912612788,8012.54713323751,4472.09272049252,2360.26270078569,NA,5361.82347218552,1693.90230806567,449.622233583976,6732.0259476152,3738.63799059573,1930.71161453472,NA,8043.32322383866,2658.35360308039,826.930112378624,9451.61366891573,5319.37489778006,2873.540007333,NA,34197.0723819733,29240.8609619141,24528.9683227539,34197.0723819733,29240.8609619141,24528.9683227539,NA
"19","NGA.2.2_1","Fufore",0.815353246562359,0.930165123550533,0.975870007308235,0.773695785158721,0.851527017782551,0.905897324840174,NA,0.855945961207886,0.946676201367494,0.98295521686482,0.817151417590635,0.880911474238097,0.926182053334386,NA,0.766666682856996,0.909021877633927,0.965908289960952,0.723422739867139,0.816382902506069,0.880726085910799,NA,8453.60497969231,2823.80239565271,787.910261901492,10360.7910883399,6003.56704545345,3072.70973422686,NA,6595.16572593882,2156.17006830006,556.558790367031,8371.28006860687,4815.39427630472,2410.35786596751,NA,10682.6015351219,3678.7383747317,1113.18758064535,12662.4208657881,7424.63402453856,3894.6195338099,NA,45782.5811843872,40435.4176483154,32652.735206604,45782.5811843872,40435.4176483154,32652.735206604,NA
"20","NGA.2.3_1","Ganye",0.824176321508389,0.93151185108355,0.975425986391105,0.765545075036414,0.840847067346045,0.895306989481699,NA,0.863192730229831,0.947898315200544,0.982558760499525,0.811333171605803,0.873188828819113,0.91838867282658,NA,0.7771126052532,0.910463903453284,0.965457248173122,0.712624107878353,0.802134140225587,0.866636635664865,NA,7801.37664964555,2583.92954888812,740.406614028789,10402.8717445619,6004.54198256158,3154.36455208433,NA,6070.2008343983,1965.69895712036,525.498572945264,8371.23305702767,4784.3479131424,2458.92133782313,NA,9889.61516330113,3378.02918051402,1040.76128248414,12750.9991469997,7465.10819574007,4018.19249368059,NA,44370.4552001953,37728.1265411377,30129.6575241089,44370.4552001953,37728.1265411377,30129.6575241089,NA
"21","NGA.2.4_1","Girie",0.796336359787832,0.92601284231901,0.975850515886042,0.763184808168543,0.85098166202575,0.910108725554075,NA,0.834856291943654,0.941151743453594,0.982331489049452,0.80205305901344,0.876045723336893,0.926849455638281,NA,0.751743303421707,0.907351264011184,0.967038908637336,0.719385482668733,0.821871791257125,0.889971318992642,NA,6961.32409400492,2152.11455394884,574.599293248539,8094.46054781958,4334.5973005536,2138.82261509621,NA,5644.693734573,1711.75908573356,420.394649303133,6765.92448307805,3605.54197771834,1740.50306386034,NA,8485.53684687252,2694.93651839157,784.257738687711,9591.54318655351,5181.3358225934,2617.96078316044,NA,34180.4952850342,29087.6771240234,23793.439666748,34180.4952850342,29087.6771240234,23793.439666748,NA
"22","NGA.2.5_1","Gombi",0.809511199930826,0.928497626581128,0.975589900373827,0.77141329605237,0.851417197257904,0.906842968335586,NA,0.848422469096554,0.944243575100836,0.982417706630544,0.811968001486281,0.878511065112278,0.925490701132218,NA,0.763630201583338,0.908733572655668,0.966173712036645,0.725117467605552,0.819527452262472,0.884101543761024,NA,6442.05368328481,2035.02404854884,589.522089887229,7730.46928523365,4228.80475602714,2249.81171054347,NA,5126.13125236323,1586.87970910009,424.625482521941,6358.96823414727,3457.6880781393,1799.45507217309,NA,7993.68220049887,2597.52740489912,816.930052669794,9296.12675201515,5136.41655777279,2799.03405488137,NA,33818.5430374146,28460.9300537109,24150.744934082,33818.5430374146,28460.9300537109,24150.744934082,NA
"23","NGA.2.6_1","Guyuk",0.786703844933404,0.921144430173838,0.973904212671435,0.744029853544298,0.835961774133716,0.89940192484659,NA,0.820006383376046,0.934630304267742,0.980035505954751,0.777983942918467,0.858291187404534,0.914947980965033,NA,0.749316529592844,0.905153127058525,0.965928769669252,0.706885674516402,0.810899732411646,0.881376542648547,NA,11453.2717259208,3478.70577898726,961.954870951063,13744.7186526431,7236.53034977547,3708.29234556941,NA,9665.03966975729,2883.77775743369,735.940328264362,11921.500546873,6251.47045917,3135.2265009208,NA,13460.8422869767,4184.16055768473,1255.94930565988,15739.2336278892,8342.13987823342,4372.75224432028,NA,53696.5690841675,44114.902557373,36862.4582519531,53696.5690841675,44114.902557373,36862.4582519531,NA
"24","NGA.2.7_1","Hong",0.805850934816697,0.93014134717345,0.977315478490791,0.777542099781623,0.861249562339532,0.916905085733227,NA,0.849457576262116,0.947035369235002,0.984156575640254,0.821500105657113,0.889467201904285,0.935267044365679,NA,0.753574342702762,0.908371225514021,0.967583705396437,0.726396687460055,0.827214700665896,0.893901065294711,NA,8336.54512342768,2585.75298959026,717.552444150806,9552.09504347884,5135.71826067566,2628.44242954028,NA,6464.1243948105,1960.43649285903,501.156168025809,7664.58711666529,4091.26860538526,2047.62046727129,NA,10581.2438998312,3391.55377284297,1025.3860286917,11748.2222165482,6395.48697596138,3356.10120269317,NA,42938.8888149261,37014.0689086914,31631.8086700439,42938.8888149261,37014.0689086914,31631.8086700439,NA
"25","NGA.2.8_1","Jada",0.822157627502332,0.931300917359368,0.975605404560971,0.767777286666329,0.843863233084826,0.898362041329048,NA,0.86215561371076,0.947919707660493,0.982815733567512,0.813040970099456,0.875387679202961,0.920669538723545,NA,0.773825262894599,0.909887184797961,0.965451005693105,0.715433716713963,0.806135370401041,0.870651363554252,NA,6449.99078441004,2288.07946559178,614.248089582877,8422.25809235933,5200.26347471492,2559.21120310325,NA,4999.34300673994,1734.5769824525,432.69431761722,6780.63390059961,4150.31586181334,1997.5155729301,NA,8202.90996745067,3001.28144547458,869.9325964663,10320.6557524575,6456.82097984206,3256.95718240253,NA,36268.0203475952,33305.8226928711,25179.6792907715,36268.0203475952,33305.8226928711,25179.6792907715,NA
"26","NGA.2.9_1","Lamurde",0.794154899417027,0.923125296315831,0.974145995175137,0.751768231351434,0.839338136188322,0.900173238705334,NA,0.82719806661784,0.936639831311493,0.980268906976544,0.785698638108822,0.861951317004363,0.916031780917825,NA,0.756829145464674,0.907009910631764,0.96616364503463,0.714459488740788,0.813830484652864,0.881700510932237,NA,6723.24883392343,2154.52134031862,607.845973260958,8107.66904037391,4502.77396293769,2346.99789404743,NA,5644.00315490152,1775.75755122797,463.891978190227,6999.44461812587,3869.00786946684,1974.15232946468,NA,7942.37103321192,2606.17761604797,795.516681258984,9326.23562049548,5217.66165603812,2781.30481353966,NA,32661.6898574829,28026.4018859863,23510.7085876465,32661.6898574829,28026.4018859863,23510.7085876465,NA
"27","NGA.2.10_1","Madagali",0.812297930904457,0.934598765952029,0.979428671560373,0.783768932055708,0.868600246690857,0.923464963619519,NA,0.862112513417506,0.953287492694707,0.986444272526268,0.832800358473293,0.89944956861679,0.942783890026458,NA,0.750159654140549,0.909173370281637,0.968872924137148,0.72519635932981,0.830097832619717,0.898323519389243,NA,4784.17255827576,1384.84967916942,372.158921829572,5511.3230583472,2782.34667681706,1384.60657536723,NA,3514.49258186812,989.122020350324,245.238655152747,4261.60425721493,2129.12240370339,1035.10504251233,NA,6367.96031269371,1923.2240928857,563.124497614422,7004.22772611736,3597.62266586882,1839.44413267119,NA,25488.1183853149,21174.6719970703,18091.1467590332,25488.1183853149,21174.6719970703,18091.1467590332,NA
"28","NGA.2.11_1","Maiha",0.81362477565982,0.93167601501598,0.977233501690078,0.784886009495418,0.863499488723874,0.916505587675461,NA,0.858514216914385,0.949327704606063,0.984425836581376,0.831432194641194,0.893930674326407,0.936565422370226,NA,0.758844185137369,0.908486434961075,0.966806228471006,0.729743968657613,0.826060774071489,0.890841728825747,NA,6015.80087960902,1838.28639080596,486.923535726688,6943.42790397751,3672.60534167677,1785.75527553872,NA,4566.86397750517,1363.36004165095,333.095876869066,5441.01478799747,2853.84112055721,1356.72110863696,NA,7784.00331004021,2462.21208005559,709.939156078202,8723.29719159283,4679.91016517094,2334.646752892,NA,32277.900138855,26905.4328613281,21387.7219543457,32277.900138855,26905.4328613281,21387.7219543457,NA
"29","NGA.2.12_1","Mayo-Bel",0.815381495118927,0.929348357633041,0.975269297636566,0.764889632136456,0.843529555144176,0.899367244953434,NA,0.852037886507882,0.944532021263542,0.981955062185109,0.804972277499502,0.871139360632513,0.918903251847316,NA,0.772240244599368,0.910390417757542,0.966164449707081,0.719458016444502,0.81127201654403,0.875737918184579,NA,7019.23091454628,2498.61833052966,726.210835622576,8938.9412155689,5533.62821591997,2955.05546342356,NA,5625.54789334097,1961.64312371538,529.885046398225,7414.99136205705,4557.19845739846,2381.3855497008,NA,8659.46952190657,3169.07204533465,993.572398020551,10666.2599454448,6674.42656885092,3648.92468257604,NA,38020.1915245056,35365.3255157471,29364.7477111816,38020.1915245056,35365.3255157471,29364.7477111816,NA
"30","NGA.2.13_1","Michika",0.811046708094207,0.933333587126861,0.97875088000397,0.783767370506638,0.867322572471828,0.921865226926226,NA,0.85884652164534,0.951474937770234,0.985737789916715,0.831040760513465,0.897268965231872,0.94086702800707,NA,0.752150256011879,0.909081981104798,0.968426320400571,0.727692388199424,0.83032346279911,0.897422576428823,NA,7583.1936464336,2352.00225014189,635.575224329371,8677.98536658055,4680.88194100256,2337.06270817643,NA,5664.86113808871,1711.97235060281,426.592130629885,6780.77962261352,3624.36817162837,1768.70627803364,NA,9946.86350750628,3207.60298633252,944.389626396748,10928.4222087603,5986.2167483376,3068.15854066237,NA,40132.6357955933,35280.1680603027,29910.6609802246,40132.6357955933,35280.1680603027,29910.6609802246,NA
"31","NGA.2.14_1","Mubi North",0.811903653415342,0.932511181987318,0.978068690434162,0.785843456547129,0.866773171636328,0.920282028313622,NA,0.858356399073379,0.95040935185139,0.985141307096947,0.832691431022341,0.896815306372151,0.939638187801481,NA,0.754948874499864,0.908791746997514,0.967713788109951,0.730211254454177,0.829668901902327,0.895408317252307,NA,8126.28564548526,2561.00738351812,743.486919143263,9252.15867584402,5055.5766298641,2702.49567138375,NA,6119.39775484574,1881.82309013285,503.720207670346,7228.19580037885,3915.56364488886,2046.30816279601,NA,10586.8906000548,3461.09201872912,1094.52543802173,11655.6246309428,6463.5774149863,3545.73208410777,NA,43202.7830047607,37947.1364135742,33900.7078857422,43202.7830047607,37947.1364135742,33900.7078857422,NA
"32","NGA.2.15_1","Mubi South",0.813967932916159,0.932900072063675,0.978037080749649,0.788137237775966,0.867586283813728,0.920306998367763,NA,0.860759291068756,0.950999481288119,0.985209112869487,0.835679143151592,0.898211349576649,0.940109795387946,NA,0.7562985327718,0.908780404000162,0.967477598987416,0.731351291543361,0.829523690890688,0.894691251389703,NA,4306.19448623957,1343.3060735576,404.171833284573,4904.11289209325,2650.85454851973,1466.54760246125,NA,3223.08719383085,980.965202460522,272.188769593962,3803.63223839186,2037.75647065782,1102.12734099343,NA,5641.10226219018,1826.16943270544,598.4923174483,6218.57083687615,3412.8480978629,1937.94046690987,NA,23147.5925292969,20019.4860839844,18402.4641113281,23147.5925292969,20019.4860839844,18402.4641113281,NA
"33","NGA.2.16_1","Numan",0.799652263773485,0.924863418809346,0.974526394511702,0.758028569138763,0.842749275005742,0.901710647637742,NA,0.833361663518085,0.938635852527335,0.980746422937758,0.792443254133843,0.865700737129135,0.917835961426673,NA,0.76126402431789,0.90829922222109,0.966340925473189,0.719967094000552,0.816716233168606,0.882819003882932,NA,4017.94081921216,1313.37101684342,396.290663068644,4852.69715272115,2748.708303097,1529.07889847475,NA,3341.90436491534,1072.63188565104,299.526222306619,4162.51631900449,2347.5217616099,1278.21879559135,NA,4787.81063252486,1602.90955282112,523.631292344316,5616.01376152149,3203.76018444904,1822.97455582445,NA,20054.8351325989,17479.7814331055,15556.9129486084,20054.8351325989,17479.7814331055,15556.9129486084,NA
