"","GID_2","NAME_2","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","weighted.risk","weighted.risk.UC","weighted.risk.LC","pop_risk_adm2","pop_risk_UC_adm2","pop_risk_LC_adm2","total_pop"
"1","NGA.1.1_1","Aba North","15_20","tet",0.844096178329003,0.859802627188051,0.82698308966165,0.00478963116088452,0.00430710227816803,0.00531537441631995,205.180577066558,184.509767294065,227.702625407159,42838.4921875
"2","NGA.1.1_1","Aba North","20_25","tet",0.860519257137017,0.876068945085284,0.843364770140096,0.0126809819515017,0.0112672720143732,0.0142405932320992,427.448706823046,379.795576587585,480.019858456858,33707.85546875
"3","NGA.1.1_1","Aba North","25_30","tet",0.875467766885922,0.891194630448597,0.857826480182119,0.0104629822412689,0.00914163844093413,0.011945172553603,296.65519846816,259.191357060986,338.679494327017,28352.833984375
"4","NGA.1.1_1","Aba North","30_35","tet",0.889021009547102,0.904995643765642,0.870739178851113,0.00827788212687091,0.00708634002920624,0.00964151716218004,199.050713506449,170.398782846163,231.840806742927,24046.091796875
"5","NGA.1.1_1","Aba North","35_40","tet",0.901265722144124,0.917403429552484,0.882374019793179,0.00397413595553903,0.00332457994880805,0.00473454252562432,88.8720655008302,74.3462957177924,105.876743564169,22362.61328125
"6","NGA.1.1_1","Aba North","40_45","tet",0.912292848958301,0.928436610184104,0.892921808515834,0.0013727169757567,0.00112004869473266,0.00167589585840906,23.2020778928554,18.931402115613,28.3264991501153,16902.302734375
"7","NGA.1.1_1","Aba North","15_20","rub",0.867380957956643,0.881980795256664,0.851264374921721,0.00884046928703204,0.00786723489129345,0.00991481091351996,378.712374486356,337.020480427902,424.735549859364,42838.4921875
"8","NGA.1.1_1","Aba North","20_25","rub",0.937954304533488,0.947200741136905,0.927203493575551,0.0122398025901474,0.0104157508515508,0.0143606234274313,412.577496674721,351.092624302584,484.065818932998,33707.85546875
"9","NGA.1.1_1","Aba North","25_30","rub",0.972231828814604,0.977471469046825,0.965811208037908,0.00664859718591292,0.0053940580565423,0.00818590120722364,188.506572241172,152.936832579224,232.093497940907,28352.833984375
"10","NGA.1.1_1","Aba North","30_35","rub",0.987831055042225,0.990595573827232,0.984264312666257,0.00258666642536548,0.00199903225097461,0.00334482358556778,62.1992183122328,48.0689130118492,80.4299349829153,24046.091796875
"11","NGA.1.1_1","Aba North","35_40","rub",0.994717359757636,0.99611226659372,0.992824366652963,0.000605947269495143,0.000445943947340653,0.000823083767595193,13.5505644565493,9.97247203949313,18.4063039928055,22362.61328125
"12","NGA.1.1_1","Aba North","40_45","rub",0.997716268244008,0.998399822738225,0.996741096715565,0.000101859167496725,7.13712209430862e-05,0.000145353837916343,1.72165448530105,1.20633798290201,2.4568145720653,16902.302734375
"13","NGA.1.1_1","Aba North","15_20","mea",0.987941543288767,0.990864963974186,0.984087565495855,NA,NA,NA,516.56610361745,391.33116942435,681.664701189913,42838.4921875
"14","NGA.1.1_1","Aba North","20_25","mea",0.99517455027022,0.996676593761096,0.992993422000726,NA,NA,NA,162.655562063148,112.024897164931,236.176718530043,33707.85546875
"15","NGA.1.1_1","Aba North","25_30","mea",0.998077993432948,0.998801203038453,0.996917507181297,NA,NA,NA,54.49433311251,33.9892912317282,87.3974071467234,28352.833984375
"16","NGA.1.1_1","Aba North","30_35","mea",0.999235883807447,0.999569154326555,0.998644113093569,NA,NA,NA,18.374008109611,10.3601546139417,32.6037810182304,24046.091796875
"17","NGA.1.1_1","Aba North","35_40","mea",0.999696443030755,0.999845422733972,0.99940349003628,NA,NA,NA,6.78832711205672,3.45675162226377,13.339521637072,22362.61328125
"18","NGA.1.1_1","Aba North","40_45","mea",0.999879443037895,0.999944592189718,0.999737499491431,NA,NA,NA,2.03769027023717,0.936519583242947,4.43686306375533,16902.302734375
"19","NGA.1.1_1","Aba North","15_20","dip",0.937136202846491,0.946176541001848,0.926689832093292,NA,NA,NA,2692.99028323719,2305.71582779655,3140.49705513584,42838.4921875
"20","NGA.1.1_1","Aba North","20_25","dip",0.954415213311434,0.962321883233646,0.944937632771607,NA,NA,NA,1536.56540127199,1270.04851429494,1856.03431630189,33707.85546875
"21","NGA.1.1_1","Aba North","25_30","dip",0.967112863483912,0.973940029340255,0.95856682036578,NA,NA,NA,932.443521862116,738.874021753423,1174.74806361383,28352.833984375
"22","NGA.1.1_1","Aba North","30_35","dip",0.976361917212509,0.982114319587934,0.968812713408827,NA,NA,NA,568.403508610135,430.080713038104,749.9323562668,24046.091796875
"23","NGA.1.1_1","Aba North","35_40","dip",0.983055769178702,0.987786083825009,0.976532571255173,NA,NA,NA,378.917281204925,273.135084070923,524.793033725854,22362.61328125
"24","NGA.1.1_1","Aba North","40_45","dip",0.987877792445557,0.991687050758276,0.982350618961968,NA,NA,NA,204.893221894128,140.507984699116,298.315181379153,16902.302734375
"25","NGA.1.2_1","Aba South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","NGA.1.3_1","Arochukw","15_20","tet",0.893305666446264,0.906480925238625,0.878522586662135,0.00432434480647698,0.00379049060838504,0.00492328867486394,47.4167057958293,41.5629617995412,53.9841620155514,10965.0612792969
"27","NGA.1.3_1","Arochukw","20_25","tet",0.905305818517234,0.917869524222448,0.891047574511693,0.0104048917495918,0.00902495799781586,0.0119707332680576,82.8784499229861,71.8868151135144,95.3509024000232,7965.33514404297
