"","GID_1","NAME_1","weighted.sero_0_5_mea","weighted.sero_10_15_mea","weighted.sero_5_10_mea","weighted.sero_0_5_dip","weighted.sero_10_15_dip","weighted.sero_5_10_dip","weighted.sero.UC_0_5_mea","weighted.sero.UC_10_15_mea","weighted.sero.UC_5_10_mea","weighted.sero.UC_0_5_dip","weighted.sero.UC_10_15_dip","weighted.sero.UC_5_10_dip","weighted.sero.LC_0_5_mea","weighted.sero.LC_10_15_mea","weighted.sero.LC_5_10_mea","weighted.sero.LC_0_5_dip","weighted.sero.LC_10_15_dip","weighted.sero.LC_5_10_dip","pop_risk_adm1_0_5_mea","pop_risk_adm1_10_15_mea","pop_risk_adm1_5_10_mea","pop_risk_adm1_0_5_dip","pop_risk_adm1_10_15_dip","pop_risk_adm1_5_10_dip","pop_risk_UC_adm1_0_5_mea","pop_risk_UC_adm1_10_15_mea","pop_risk_UC_adm1_5_10_mea","pop_risk_UC_adm1_0_5_dip","pop_risk_UC_adm1_10_15_dip","pop_risk_UC_adm1_5_10_dip","pop_risk_LC_adm1_0_5_mea","pop_risk_LC_adm1_10_15_mea","pop_risk_LC_adm1_5_10_mea","pop_risk_LC_adm1_0_5_dip","pop_risk_LC_adm1_10_15_dip","pop_risk_LC_adm1_5_10_dip","total_pop_0_5_mea","total_pop_10_15_mea","total_pop_5_10_mea","total_pop_0_5_dip","total_pop_10_15_dip","total_pop_5_10_dip"
"11","NGA.11_1","Ebonyi",0.825626105611788,0.971173606721466,0.926508051049771,0.890246751859069,0.946062783730299,0.92286956197798,0.848624607223021,0.976223012359002,0.936804452027109,0.907743085011517,0.954842738918142,0.935036424432406,0.800015028367413,0.965080764923545,0.914684477117335,0.869881035712708,0.935671013855334,0.908621295549806,80449.5869396229,12158.0640834443,32120.5333880153,50636.0399255769,22749.017733618,33710.7784608675,69838.9392773368,10028.3839416629,27620.3684571198,42563.8868087874,19045.9093776013,28393.1060181426,92265.5791936102,14727.8327088023,37288.1674851824,60032.0189363841,27131.9387206257,39938.1533511082,461362.563598633,421768.480224609,437061.934631348,461362.563598633,421768.480224609,437061.934631348
"12","NGA.12_1","Edo",0.832844519655068,0.97508446710499,0.93302419693878,0.855415523753863,0.933877246457901,0.901236777806405,0.857104268944336,0.979693276381379,0.943506613247038,0.878540608539339,0.945085409123931,0.91732085354593,0.80545814717292,0.969455803575842,0.920760843843922,0.828735258583416,0.920561026080925,0.882410560544771,101939.792035672,14968.5459836462,39036.7053112922,88174.8621684637,39724.6762142675,57563.9353938165,87144.9806882826,12199.7039976375,32927.0511127195,74072.0261204072,32991.1297568984,48189.3658306203,118641.374955243,18350.0874990351,46184.3747532654,104445.825449593,47724.6839958007,68536.756349722,609850.133691788,600771.657051086,582847.887252808,609850.133691788,600771.657051086,582847.887252808
"13","NGA.13_1","Ekiti",0.817683024335448,0.976046990277926,0.930924717565307,0.839603588347894,0.934346874234317,0.896173035581028,0.843926939997089,0.980597996886065,0.941867184835981,0.864763398898914,0.945539691531074,0.912991677655628,0.788218238595726,0.970456682526537,0.91810869578027,0.810801626397507,0.921046496741143,0.876547503398414,66998.7393986127,10663.7675900553,27870.6345618417,58943.2626642757,29228.463681569,41892.3134439934,57354.4961250265,8637.68079206594,23455.5457521187,49697.4116716191,24245.4739147103,35106.2937482972,77826.6038583862,13152.546382758,33041.6689335807,69527.5493761904,35149.729363539,49810.8628333564,367484.92099762,445195.310058594,403482.021057129,367484.92099762,445195.310058594,403482.021057129
"14","NGA.14_1","Enugu",0.825919489280568,0.972717355738389,0.92843597232615,0.856656672469834,0.932346620606946,0.900709790571817,0.848298814369788,0.977308553481726,0.938346959723241,0.877475379033297,0.942687125376943,0.915281735626486,0.801065814922662,0.967222589054504,0.917070104935662,0.832952629202873,0.920276042904278,0.883921547525557,94944.8871679171,16530.4683145287,38827.7654364686,78180.5843881074,40990.9697060147,53870.8774104408,82739.0262894717,13748.6760478327,33450.4619726132,66825.8971949172,34725.6904017949,45964.7256338192,108500.277704557,19859.7301592649,44994.4283167518,91108.9570365098,48304.4947565459,62979.5034098242,545407.907958984,605896.853546143,542559.8125,545407.907958984,605896.853546143,542559.8125
"15","NGA.15_1","Federal Capital Territory",0.812623843332638,0.977779946386606,0.932258834324426,0.817035893487846,0.931061812500144,0.885933456598552,0.842163558582123,0.982209866624227,0.944245971327351,0.847852199746755,0.944013987218292,0.90627582244171,0.77910277969082,0.972278036793116,0.917933143821718,0.781609273852396,0.915385219744,0.861858969987361,142471.998609337,11716.3705353671,40753.8263940873,139117.283608469,36350.2880253207,68623.6804577518,120011.391321847,9380.5261738215,33542.2336276009,115686.016682344,29520.7600288103,56385.4906104223,167959.83557591,14617.462160572,49372.3185310379,166054.015544942,44616.3693165165,83107.1549904765,760352.870628357,527288.130767822,601610.94052124,760352.870628357,527288.130767822,601610.94052124
"16","NGA.16_1","Gombe",0.767907385751822,0.972790021524757,0.915354150538212,0.691660384797835,0.878957542302916,0.801214751931275,0.802087056619662,0.978872625533644,0.929452291225645,0.729245689112166,0.89702135792641,0.827177142241989,0.730000784371142,0.964998308279277,0.898745743233833,0.65139340711685,0.858218996410028,0.772434962876115,161847.386764113,13060.1896714006,47399.5584997165,215017.44516075,58097.7106341603,111314.766815208,138012.546399473,10140.6738722845,39504.9523435941,188807.721496283,49427.4774530981,96776.4776238323,188281.163618432,16800.0402171744,56699.8511734454,243097.206042703,68051.7553650885,127430.728833469,697339.668857574,479977.949386597,559974.987564087,697339.668857574,479977.949386597,559974.987564087
"17","NGA.17_1","Imo",0.844505559356564,0.973403581083758,0.933651507621603,0.841529685374482,0.917527412189075,0.884882874890066,0.862951066003073,0.977759651878854,0.941798946116536,0.860190228481268,0.92755694337814,0.898047422656537,0.824124337684232,0.968211907554711,0.924453335742082,0.820903135604026,0.906248521746606,0.870266178318007,106558.289084635,20524.7686706627,46410.6352555031,108597.616270546,63645.0640900547,80524.1945011978,93917.8266898515,17163.1377058346,40711.5186260185,95809.7922260265,55905.1571432192,71315.6201569786,120525.271453081,24531.2440737185,52844.7377469847,122732.718748575,72349.1162379196,90748.5439766517,685286.809249878,771711.73815918,699497.96282959,685286.809249878,771711.73815918,699497.96282959
"18","NGA.18_1","Jigawa",0.749926682772519,0.97699244517226,0.918032105686069,0.597642518473725,0.85921887685313,0.750483994401442,0.783883583660776,0.982031365746714,0.931237490390156,0.636220081673397,0.878052978012742,0.778034584231631,0.712782404055357,0.970556741831774,0.902536144670781,0.557837260624014,0.837968710432677,0.720710615480959,326852.319389154,17770.7979273122,85707.3116220558,525891.676563042,108737.886757383,260899.053532129,282469.768153197,13878.7876736878,71899.4905062955,475469.799699129,94190.6213762542,232091.591687325,375400.856215647,22741.6687756132,101910.206313163,577918.182214689,125151.296013908,292030.709243647,1307025.96747589,772389.680709839,1045620.51202393,1307025.96747589,772389.680709839,1045620.51202393
"19","NGA.19_1","Kaduna",0.784538913546834,0.97763071012461,0.926138491884786,0.676679611456333,0.879832242271322,0.795261336818577,0.814446512418166,0.982015442658265,0.937986521188394,0.712297468107295,0.896770639724518,0.820588226282755,0.7514025216712,0.972201601647321,0.912246284254517,0.638851347791979,0.860526089278486,0.767336435126778,377347.050962084,25844.7264795857,103065.15548837,566246.077847508,138837.792681996,285689.023873695,324968.478008462,20778.7537263286,86532.6067553775,503866.864087475,119267.73696637,250348.291369417,435380.359712304,32117.3361334985,122450.117642907,632496.480515289,161143.473651415,324654.980679956,1751346.64534473,1155366.42528915,1395383.84902191,1751346.64534473,1155366.42528915,1395383.84902191
"20","NGA.20_1","Kano",0.764794789979972,0.978458629923664,0.923449082048479,0.579023794743884,0.847131687507356,0.733980760267207,0.793712552781013,0.982739210865312,0.934525658979799,0.61303045820062,0.864528312518078,0.758638975554489,0.733332874244716,0.973132801491119,0.910675157301405,0.544292558683136,0.827935824189139,0.707780305592825,653766.681779805,39782.6612058364,173825.709009072,1170128.0630438,282317.617841934,604055.237925314,573388.063341369,31877.2726088112,148673.902995466,1075604.54664457,250189.483165543,548063.332538569,741216.92257559,49618.4157294116,202831.716845514,1266665.57150976,317768.590748299,663549.137306362,2779558.6744194,1846802.73654175,2270720.11231995,2779558.6744194,1846802.73654175,2270720.11231995
